qni quindi
cos così
cn con
x per
nn non
cm come
qnd quando
qlc qualcosa
qst questo
sn sono
xo però
xk perché
cmq comunque
frs forse
k che
tt tutto
xche perché
perche perché
poiche poiché
Perche Perché
Poiche Poiché
affinche affinché
caffe caffè
finche finché
nonche nonché
sicche sicché
sennonche sennonché
gia già
nazionalita nazionalità
citta città
liberta libertà
umidita umidità
velocita velocità
priorita priorità
felicita felicità
realta realtà
verita verità
capacita capacità
luminosita luminosità
sapra saprà
avra avrà
spontaneita spontaneità
semplicita semplicità
capitera capiterà
andra andrà
accorgera accorgerà
dara darà
verita verità
pensera penserà
mandera manderà
collezionera collezionerà
qualita qualità
eta età
inferiorita inferiorità
universita università
piu più
pero però
cio ciò
sopratutto soprattutto
civilta civiltà
cioe cioè
puo può
